app_name,class_dex,types,matches
com.bitbns.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bitbns.apk,classes3.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'device ID check', 'possible VM check']"
com.bitbns.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.bitbns.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
com.bitcoinglobal.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.bitcoinglobal.apk,classes.dex,compiler,['r8']
com.bitcoinglobal.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bitcoinglobal.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'possible VM check']"
com.bitcoinglobal.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bitcoininc.bitcoinpay.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check']"
com.bitcoininc.bitcoinpay.apk,classes.dex,compiler,['dx (possible dexmerge)']
com.bitcoininc.bitcoinpay.apk,classes.dex,manipulator,['dexmerge']
com.bitexuae.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
com.bitexuae.apk,classes.dex,compiler,['r8']
com.bitexuae.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'network operator name check', 'device ID check']"
com.bitexuae.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bitkub.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bitkub.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'ro.hardware check', 'ro.kernel.qemu check']"
com.bitkub.apk,classes.dex,compiler,['r8']
com.bitkub.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bitkub.apk,classes3.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.TAGS check', 'network operator name check', 'possible ro.secure check']"
com.bitkub.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.bitkub.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
com.bitmart.bitmarket.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bitmart.bitmarket.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'subscriber ID check', 'possible ro.secure check', 'emulator file check']"
com.bitmart.bitmarket.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.bitmart.bitmarket.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'device ID check', 'subscriber ID check', 'ro.kernel.qemu check', 'emulator file check']"
com.bitmart.bitmarket.apk,classes2.dex,compiler,['dx']
com.bitpay.wallet.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bitpay.wallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check']"
com.bitpay.wallet.apk,classes.dex,compiler,['r8']
com.bitso.wallet.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.bitso.wallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'ro.kernel.qemu check']"
com.bitso.wallet.apk,classes.dex,compiler,['r8']
com.bitso.wallet.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.bitso.wallet.apk,classes2.dex,anti_vm,"['Build.MANUFACTURER check', 'possible Build.SERIAL check', 'network operator name check', 'device ID check']"
com.bitso.wallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bitvirya.app.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.bitvirya.app.apk,classes.dex,compiler,['r8']
com.bitvirya.app.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.bityard.us2.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check', 'subscriber ID check']"
com.bityard.us2.apk,classes.dex,compiler,['r8']
com.blockcloud.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'possible Build.SERIAL check']"
com.blockcloud.apk,classes.dex,compiler,['r8']
com.blockfi.mobile.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check', 'device ID check']"
com.blockfi.mobile.apk,classes.dex,compiler,['r8']
com.blockfi.mobile.apk,classes2.dex,compiler,['r8']
com.blockfi.mobile.apk,classes3.dex,anti_vm,['Build.MANUFACTURER check']
com.blockfi.mobile.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.blockfolio.blockfolio.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.blockfolio.blockfolio.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'ro.kernel.qemu check', 'possible VM check']"
com.blockfolio.blockfolio.apk,classes.dex,compiler,['r8']
com.blockfolio.blockfolio.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check', 'possible VM check']"
com.blockfolio.blockfolio.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.blockfolio.blockfolio.apk,classes3.dex,anti_vm,['Build.MANUFACTURER check']
com.blockfolio.blockfolio.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.bokucoin.app.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible VM check']"
com.bokucoin.app.apk,classes.dex,compiler,['r8']
com.btcontract.wallettest.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check']"
com.btcontract.wallettest.apk,classes.dex,compiler,['r8']
com.btcontract.wallettest.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.BOARD check']"
com.btcontract.wallettest.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.btcontract.wallettest.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.btcontract.wallettest.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
com.btcontract.wallettest.apk,classes5.dex,compiler,['r8 without marker (suspicious)']
com.btcturk.pro.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.btcturk.pro.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check']"
com.btcturk.pro.apk,classes.dex,compiler,['r8']
com.btcturk.pro.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'network operator name check']"
com.btcturk.pro.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.btuprotocol.btu_wallet.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.btuprotocol.btu_wallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check', 'SIM operator check', 'network operator name check']"
com.btuprotocol.btu_wallet.apk,classes.dex,compiler,['r8']
com.btuprotocol.btu_wallet.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.btuprotocol.btu_wallet.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'network operator name check']"
com.btuprotocol.btu_wallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.buda.crypto.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.buda.crypto.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'possible VM check']"
com.buda.crypto.apk,classes.dex,compiler,['r8']
com.burency.app.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.burency.app.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'possible ro.secure check', 'emulator file check']"
com.burency.app.apk,classes.dex,compiler,['r8']
com.burency.app.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'subscriber ID check', 'possible ro.secure check', 'emulator file check', 'possible VM check']"
com.burency.app.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.burency.app.apk,classes2.dex,obfuscator,['unreadable field names']
com.burency.app.apk,classes3.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check']"
com.burency.app.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.caramba.StellarWallet.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'SIM operator check', 'network operator name check']"
com.caramba.StellarWallet.apk,classes.dex,compiler,['r8']
com.caramba.StellarWallet.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.caramba.StellarWallet.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'possible Build.SERIAL check']"
com.caramba.StellarWallet.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.cloudmining.mineresp.apk,error,error,error
com.cobinhood.exchange.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.cobinhood.exchange.apk,classes.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'device ID check', 'possible VM check']"
com.cobinhood.exchange.apk,classes.dex,compiler,['r8']
com.coinburp.mobile.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'ro.hardware check', 'ro.kernel.qemu check', 'possible VM check']"
com.coinburp.mobile.apk,classes.dex,compiler,['r8']
com.coinburp.mobile.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.coinburp.mobile.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coinburp.mobile.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'device ID check', 'possible VM check']"
com.coinburp.mobile.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.coindcx.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coindcx.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check', 'possible VM check']"
com.coindcx.apk,classes.dex,compiler,['r8']
com.coindcx.btc.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coindcx.btc.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'SIM operator check', 'network operator name check', 'device ID check']"
com.coindcx.btc.apk,classes.dex,compiler,['r8']
com.coindcx.btc.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coindcx.btc.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.BOARD check', 'possible Build.SERIAL check', 'Build.TAGS check', 'network operator name check', 'device ID check', 'possible ro.secure check', 'possible VM check']"
com.coindcx.btc.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.coindeal.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MANUFACTURER check', 'Build.TAGS check']"
com.coindeal.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.coindeal.apk,classes2.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coindeal.apk,classes2.dex,anti_vm,"['Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.TAGS check', 'possible VM check']"
com.coindeal.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.coindeal.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.coinlist.trade.apk,classes.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coinlist.trade.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'Build.TAGS check']"
com.coinlist.trade.apk,classes.dex,compiler,['r8']
com.coinlist.trade.apk,classes2.dex,compiler,['r8']
com.coinmarket.android.apk,assets/audience_network.dex,anti_debug,['Debug.isDebuggerConnected() check']
com.coinmarket.android.apk,assets/audience_network.dex,anti_vm,['possible Build.SERIAL check']
com.coinmarket.android.apk,assets/audience_network.dex,compiler,['unknown (please file detection issue!)']
com.coinmarket.android.apk,classes.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.BOARD check', 'possible Build.SERIAL check', 'network operator name check', 'ro.kernel.qemu check', 'possible VM check']"
com.coinmarket.android.apk,classes.dex,compiler,['r8']
com.coinmarket.android.apk,classes.dex,obfuscator,"['unreadable field names', 'unreadable method names']"
com.coinmarket.android.apk,classes2.dex,anti_vm,"['Build.FINGERPRINT check', 'Build.MODEL check', 'Build.MANUFACTURER check', 'Build.PRODUCT check', 'Build.HARDWARE check', 'possible Build.SERIAL check', 'Build.TAGS check']"
com.coinmarket.android.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.coinmarket.android.apk,classes3.dex,anti_debug,['Debug.isDebuggerConnected() check']
